bgrp,IWDP_Pop,BWDP_Pop,IWDP_Pct,BWDP_Pct
170318302011,580,1177,33.0099983215,66.9899978638
170318302012,349,1924,15.3500003815,84.6500015259
170318302013,1066,285,78.9000015259,21.1000003815
170318302021,1891,305,86.1100006104,13.8900003433
170318302022,1144,235,82.9599990845,17.0400009155
170318303001,1270,47,96.4300003052,3.56999993324
170318303002,808,143,84.9599990845,15.0399999619
170318303003,1059,421,71.5500030518,28.4500007629
170318303004,930,92,91.0,9.0
170318304001,582,107,84.4700012207,15.529999733
170318304002,820,12,98.5599975586,1.44000005722
170318304003,1952,312,86.2200012207,13.779999733
170318304004,616,48,92.7699966431,7.23000001907
170318305001,1622,36,97.8300018311,2.17000007629
170318305002,1842,17,99.0899963379,0.910000026226
170318305003,881,222,79.8700027466,20.1299991608
170318306001,912,0,100.0,0.0
170318306002,1713,0,100.0,0.0
170318306003,1282,5,99.6100006104,0.389999985695
170318306004,946,220,81.1299972534,18.8700008392
170318307001,752,181,80.5999984741,19.3999996185
170318307002,778,16,97.9800033569,2.01999998093
170318307003,1646,0,100.0,0.0
170318307004,869,4,99.5400009155,0.460000008345
170318308001,934,8,99.1500015259,0.850000023842
170318308002,311,241,56.3400001526,43.6599998474
170318308003,590,247,70.4899978638,29.5100002289
170318309001,829,215,79.4100036621,20.5900001526
170318309002,1060,0,100.0,0.0
170318309003,559,122,82.0899963379,17.9099998474
170318310001,804,8,99.0100021362,0.990000009537
170318310002,1334,21,98.4499969482,1.54999995232
170318311001,1323,0,100.0,0.0
170318311002,1391,16,98.8600006104,1.13999998569
170318311003,1256,584,68.2600021362,31.7399997711
170318311004,2862,17,99.4100036621,0.589999973774
170318312001,806,0,100.0,0.0
170318312002,1880,325,85.2600021362,14.7399997711
170318312003,1890,111,94.4499969482,5.55000019073
170318313001,985,244,80.1500015259,19.8500003815
170318314001,452,268,62.7799987793,37.2200012207
170318314002,2199,1,99.9499969482,0.0500000007451
170318315001,1715,888,65.8899993896,34.1100006104
170318315002,1118,283,79.8000030518,20.2000007629
170318316001,1326,33,97.5699996948,2.43000006676
170318316002,1027,238,81.1900024414,18.8099994659
170318316003,163,904,15.279999733,84.7200012207
170318316004,1197,251,82.6699981689,17.3299999237
170318316005,869,410,67.9400024414,32.0600013733
170318316006,174,661,20.8400001526,79.1600036621
170318317001,450,1606,21.8899993896,78.1100006104
170318318001,905,1,99.8899993896,0.109999999404
170318318002,820,93,89.8099975586,10.1899995804
170318318003,1304,0,100.0,0.0
170318318004,1384,65,95.5100021362,4.48999977112
170318318005,1784,34,98.1299972534,1.87000000477
170318319001,1341,96,93.3199996948,6.67999982834
170318319002,1243,0,100.0,0.0
170318320001,1678,126,93.0199966431,6.98000001907
170318321001,1697,20,98.8399963379,1.15999996662
170318321002,885,7,99.2200012207,0.77999997139
170318321003,710,29,96.0800018311,3.92000007629
170318322001,572,76,88.2699966431,11.7299995422
170318322002,1560,34,97.8700027466,2.13000011444
170318322003,654,0,100.0,0.0
170318323001,1466,369,79.8899993896,20.1100006104
170318324001,1875,0,100.0,0.0
170318324002,1291,0,100.0,0.0
170318325001,1254,41,96.8300018311,3.17000007629
170318325002,2346,109,95.5599975586,4.44000005722
170318326001,704,0,100.0,0.0
170318326002,1050,49,95.5400009155,4.46000003815
170318326003,1947,0,100.0,0.0
170318329001,1473,5,99.6600036621,0.340000003576
170318329002,724,0,100.0,0.0
170318330001,1228,449,73.2300033569,26.7700004578
170318330002,843,320,72.4800033569,27.5200004578
170318331001,2998,47,98.4599990845,1.53999996185
170318331002,1467,4,99.7300033569,0.270000010729
170318331003,2305,76,96.8099975586,3.19000005722
170318333001,2235,2,99.9100036621,0.0900000035763
170318339001,1432,45,96.9499969482,3.04999995232
170318339002,1268,0,100.0,0.0
170318340001,2365,320,88.0800018311,11.9200000763
170318340002,926,0,100.0,0.0
170318342001,1269,146,89.6800003052,10.3199996948
170318342002,1119,15,98.6800003052,1.32000005245
170318342003,934,686,57.6500015259,42.3499984741
170318342004,793,0,100.0,0.0
170318343001,1321,18,98.6600036621,1.34000003338
170318343002,1494,58,96.2600021362,3.74000000954
170318343003,637,0,100.0,0.0
