bgrp,IBuff_Pop,SBuff_Pop,Buff_Pop,Buff_Pct,Lane_PctSB,Lane_PctIB
170310611001,882,0,882,65.0,3.41000008583,96.5899963379
170310612001,1633,112,1745,90.7900009155,23.2399997711,76.7600021362
170310615001,1566,84,1650,95.3799972534,26.5,73.5
170310618001,1110,0,1110,91.2799987793,25.2900009155,74.7099990845
170310619011,725,14,739,100.0,36.7999992371,63.2000007629
170310619012,126,662,788,95.8600006104,0.0,0.0
170310619013,636,126,762,95.4899978638,0.0,0.0
170310619014,1076,0,1076,92.4400024414,28.75,71.25
170310619021,1084,0,1084,100.0,16.7700004578,83.2300033569
170310619022,1579,23,1602,100.0,15.1199998856,84.8799972534
170310619023,1423,51,1474,100.0,43.6300010681,56.3699989319
170310619024,-99999,-99999,-99999,-99999.0,0.0,0.0
170310620001,1685,0,1685,92.1299972534,11.5399999619,88.4599990845
170310620002,769,30,799,96.1500015259,18.3500003815,81.6500015259
170310621001,811,0,811,98.5400009155,0.0,100.0
170310621002,1085,0,1085,100.0,0.0,100.0
170310621003,1521,0,1521,100.0,7.19999980927,92.8000030518
170310622001,1450,0,1450,100.0,0.0,100.0
170310622002,1409,11,1420,99.8600006104,20.0100002289,79.9899978638
170310623001,1415,0,1415,93.2099990845,10.3599996567,89.6399993896
170310624001,1300,0,1300,89.2900009155,15.4499998093,84.5500030518
170310625001,1449,0,1449,98.4400024414,0.219999998808,99.7799987793
170310626001,1911,85,1996,90.0299987793,13.5799999237,86.4199981689
170310627001,799,0,799,97.9199981689,4.90000009537,95.0999984741
170310627002,809,17,826,96.0500030518,41.5699996948,58.4300003052
170310627003,1039,28,1067,100.0,4.65000009537,95.3499984741
170310628001,1056,0,1056,96.9700012207,25.3099994659,74.6900024414
170310628002,1067,0,1067,98.5199966431,20.8700008392,79.1299972534
170310628003,1373,0,1373,100.0,4.82000017166,95.1800003052
170310629001,936,138,1074,83.4499969482,0.0,100.0
170310629002,976,173,1149,100.0,28.8400001526,71.1600036621
170310629003,1215,311,1526,100.0,49.8699989319,50.1300010681
170310630001,1087,0,1087,98.0199966431,0.0,100.0
170310630002,1219,4,1223,100.0,12.0100002289,87.9899978638
170310630003,550,0,550,74.2200012207,0.0,100.0
170310631001,1150,0,1150,100.0,1.76999998093,98.2300033569
170310631002,982,0,982,94.7900009155,19.6900005341,80.3099975586
170310632001,953,119,1072,100.0,7.53999996185,92.4599990845
170310632002,478,0,478,88.5199966431,23.5499992371,76.4499969482
170310632003,947,0,947,90.7099990845,5.21999979019,94.7799987793
170310632004,979,251,1230,95.2699966431,41.0900001526,58.9099998474
170310632005,834,0,834,100.0,36.3400001526,63.6599998474
170310632006,1397,50,1447,84.0800018311,0.0,0.0
170310633011,1042,0,1042,94.3000030518,0.0,0.0
170310633012,598,187,785,100.0,0.0,0.0
170310633013,798,0,798,100.0,0.0,100.0
170310633021,1291,165,1456,95.3499984741,17.1599998474,82.8399963379
170310633022,845,0,845,100.0,48.0900001526,51.9099998474
170310633023,689,0,689,88.9000015259,13.3900003433,86.6100006104
170310633024,151,696,847,83.9400024414,100.0,0.0
170310633031,416,12,428,100.0,87.6600036621,12.3400001526
170310633032,773,0,773,100.0,53.6300010681,46.3699989319
170310634001,1169,0,1169,95.4300003052,0.0900000035763,99.9100036621
170310634002,993,18,1011,100.0,4.26000022888,95.7399978638
170310701011,1367,0,1367,100.0,0.0,0.0
170310701012,1235,0,1235,100.0,10.75,89.25
170310701013,1093,82,1175,93.6299972534,61.6500015259,38.3499984741
170310701021,1043,0,1043,85.4199981689,0.0,100.0
170310701022,596,0,596,100.0,0.0,100.0
170310701023,774,0,774,98.7200012207,0.0,0.0
170310701031,636,159,795,100.0,67.1999969482,32.7999992371
170310701032,884,0,884,100.0,3.09999990463,96.9000015259
170310702001,1766,0,1766,100.0,2.67000007629,97.3300018311
170310702002,1080,10,1090,97.3199996948,41.1699981689,58.8300018311
170310702003,1018,0,1018,94.9599990845,0.0,100.0
170310703001,1826,29,1855,95.9599990845,11.0699996948,88.9300003052
170310703002,1512,0,1512,100.0,19.2800006866,80.7200012207
170310704001,1142,9,1151,99.4800033569,10.1700000763,89.8300018311
170310704002,857,0,857,100.0,8.56000041962,91.4400024414
170310704003,941,24,965,98.3700027466,38.0499992371,61.9500007629
170310705001,813,123,936,100.0,37.3199996948,62.6800003052
170310705002,1048,0,1048,98.3099975586,9.71000003815,90.2900009155
170310705003,748,89,837,87.9199981689,10.3900003433,89.6100006104
170310706001,1576,88,1664,95.6900024414,17.25,82.75
170310706002,1026,24,1050,81.8399963379,7.88999986649,92.1100006104
170310707001,2341,40,2381,98.4300003052,16.7299995422,83.2699966431
170310707002,1047,9,1056,96.2600021362,12.5,87.5
170310710001,2084,509,2593,100.0,46.5900001526,53.4099998474
170310710002,1617,90,1707,96.5500030518,20.2800006866,79.7200012207
170310711001,1619,23,1642,99.3899993896,34.5099983215,65.4899978638
170310711002,1071,103,1174,92.3000030518,8.06999969482,91.9300003052
170310712001,902,0,902,99.2300033569,13.3100004196,86.6900024414
170310712002,810,192,1002,100.0,34.2999992371,65.6999969482
170310713001,1683,47,1730,95.0,19.3299999237,80.6699981689
170310713002,1612,171,1783,99.5500030518,56.7099990845,43.2900009155
170310714001,796,13,809,100.0,39.2299995422,60.7700004578
170310714002,1545,108,1653,100.0,36.6399993896,63.3600006104
170310714003,1333,134,1467,100.0,9.92000007629,90.0800018311
170310714004,570,25,595,100.0,52.0900001526,47.9099998474
170310715001,1100,0,1100,95.7399978638,0.0,100.0
170310715002,1041,0,1041,100.0,50.4099998474,49.5900001526
170310715003,235,12,247,19.1499996185,48.2900009155,51.7099990845
170310715004,902,113,1015,90.3000030518,17.8600006104,82.1399993896
170310715005,621,0,621,99.3600006104,13.3699998856,86.6299972534
170310715006,191,24,215,34.2900009155,9.89000034332,90.1100006104
170310716001,1185,226,1411,79.6299972534,26.5799999237,73.4199981689
170310717001,60,314,374,52.3800010681,0.0,0.0
170310717002,335,573,908,100.0,77.4899978638,22.5100002289
170310718001,1842,78,1920,88.4400024414,30.6200008392,69.3799972534
170310718002,535,0,535,96.0500030518,7.07000017166,92.9300003052
170310801001,504,0,504,97.8600006104,0.0,100.0
170310801002,1053,0,1053,100.0,23.4599990845,76.5400009155
170310801003,870,75,945,100.0,0.0,100.0
170310801004,851,251,1102,100.0,53.4799995422,46.5200004578
170310801005,706,368,1074,100.0,21.0,79.0
170310801006,669,120,789,95.75,0.0,0.0
170310801007,546,0,546,100.0,48.4700012207,51.5299987793
170310802011,371,899,1270,83.0599975586,67.5400009155,32.4599990845
170310802012,1273,113,1386,100.0,0.0,100.0
170310802013,251,271,522,90.7799987793,0.0,0.0
170310802021,464,0,464,74.2399978638,6.44000005722,93.5599975586
170310802022,768,424,1192,89.2900009155,68.4700012207,31.5300006866
170310802023,1461,268,1729,100.0,0.0,100.0
170310803001,324,253,577,78.9300003052,71.8399963379,28.1599998474
170310803002,1678,0,1678,100.0,11.9399995804,88.0599975586
170310803003,691,0,691,80.0699996948,0.0,100.0
